"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.13G211500.Wm82.a2.v1",81,102,93,60,77,57
"Glyma.18G160700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G100900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G203700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G249800.Wm82.a2.v1",96,112,71,97,85,93
"Glyma.08G364800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G057000.Wm82.a2.v1",2,2,1,2,2,1
"Glyma.13G002000.Wm82.a2.v1",119,132,91,19,23,29
"Glyma.13G280500.Wm82.a2.v1",0,2,2,6,2,0
"Glyma.08G046400.Wm82.a2.v1",362,349,261,230,282,244
"Glyma.06G182500.Wm82.a2.v1",9,10,8,11,7,8
"Glyma.20G244500.Wm82.a2.v1",1738,1956,1551,1303,1190,1152
"Glyma.13G161500.Wm82.a2.v1",183,258,184,63,103,124
"Glyma.05G112400.Wm82.a2.v1",25,36,31,14,17,21
"Glyma.03G165700.Wm82.a2.v1",0,0,0,1,3,1
"Glyma.10G090600.Wm82.a2.v1",166,213,121,240,235,136
"Glyma.19G124500.Wm82.a2.v1",113,111,142,117,133,122
"Glyma.12G209400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G151500.Wm82.a2.v1",96,98,120,106,107,65
"Glyma.15G113400.Wm82.a2.v1",98,102,75,70,82,70
"Glyma.08G065800.Wm82.a2.v1",24,27,17,10,13,21
"Glyma.09G115900.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.04G006100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G073200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G022300.Wm82.a2.v1",81,73,39,44,67,68
"Glyma.03G019100.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.09G198500.Wm82.a2.v1",170,176,149,147,199,144
"Glyma.13G197500.Wm82.a2.v1",89,103,74,46,61,43
"Glyma.20G238100.Wm82.a2.v1",117,130,56,74,76,92
"Glyma.10G187700.Wm82.a2.v1",199,150,106,74,86,68
"Glyma.10G124700.Wm82.a2.v1",292,255,201,229,265,189
"Glyma.04G147100.Wm82.a2.v1",346,379,290,377,462,412
"Glyma.15G241200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G240800.Wm82.a2.v1",252,263,184,142,166,152
"Glyma.10G274500.Wm82.a2.v1",175,139,145,123,107,111
"Glyma.05G080300.Wm82.a2.v1",13,9,7,8,6,10
"Glyma.05G198300.Wm82.a2.v1",95,110,125,91,114,77
"Glyma.12G191200.Wm82.a2.v1",147,118,108,78,103,98
"Glyma.12G074600.Wm82.a2.v1",15,11,20,7,8,7
"Glyma.02G185200.Wm82.a2.v1",32,26,19,47,59,25
"Glyma.01G198800.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.13G211700.Wm82.a2.v1",0,0,0,1,0,1
"Glyma.19G147400.Wm82.a2.v1",3849,3725,2044,1952,2054,1931
"Glyma.12G204100.Wm82.a2.v1",538,423,292,179,210,161
"Glyma.11G253100.Wm82.a2.v1",127,101,96,111,118,111
"Glyma.11G058100.Wm82.a2.v1",2,1,0,0,0,0
"Glyma.20G198600.Wm82.a2.v1",105,99,94,87,84,74
"Glyma.10G254100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G061800.Wm82.a2.v1",0,4,2,3,5,6
"Glyma.12G223000.Wm82.a2.v1",247,231,197,259,277,160
"Glyma.06G006000.Wm82.a2.v1",4,0,2,1,1,3
"Glyma.06G113800.Wm82.a2.v1",0,1,1,5,3,1
"Glyma.15G097100.Wm82.a2.v1",88,115,94,80,80,97
"Glyma.09G232500.Wm82.a2.v1",122,144,131,197,228,128
"Glyma.04G156100.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.15G194100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G028900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G090200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G053200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G231400.Wm82.a2.v1",10,9,14,4,14,14
"Glyma.07G182500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G235200.Wm82.a2.v1",94,103,48,10,9,22
"Glyma.10G213100.Wm82.a2.v1",21,11,9,12,13,7
"Glyma.04G188000.Wm82.a2.v1",139,136,101,102,101,82
"Glyma.11G077200.Wm82.a2.v1",9,5,15,13,19,5
"Glyma.02G175000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G222900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G108400.Wm82.a2.v1",3,2,6,5,0,1
"Glyma.06G262200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G259900.Wm82.a2.v1",27,37,22,7,7,4
"Glyma.09G196300.Wm82.a2.v1",20,29,17,15,20,24
"Glyma.16G101500.Wm82.a2.v1",173,146,129,116,128,145
"Glyma.18G178700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G011100.Wm82.a2.v1",184,273,192,205,177,132
"Glyma.02G110900.Wm82.a2.v1",7,12,5,16,9,15
"Glyma.07G219500.Wm82.a2.v1",682,618,492,615,806,462
"Glyma.15G064100.Wm82.a2.v1",14,8,1,5,1,3
"Glyma.07G231300.Wm82.a2.v1",0,0,0,0,0,0
