"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.13G328100.Wm82.a2.v1",119,131,95,140,117,117
"Glyma.03G143000.Wm82.a2.v1",1,2,2,1,2,2
"Glyma.15G056900.Wm82.a2.v1",207,214,155,141,179,192
"Glyma.02G123100.Wm82.a2.v1",78,72,50,97,106,98
"Glyma.06G210300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.U003000.Wm82.a2.v1",93,82,79,104,131,98
"Glyma.19G128300.Wm82.a2.v1",132,158,155,161,213,117
"Glyma.20G049900.Wm82.a2.v1",2,5,5,8,7,7
"Glyma.01G213100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G082500.Wm82.a2.v1",2,1,2,0,0,0
"Glyma.01G164600.Wm82.a2.v1",45,25,26,21,30,23
"Glyma.11G216300.Wm82.a2.v1",4,5,2,43,79,44
"Glyma.02G292900.Wm82.a2.v1",187,293,211,199,169,142
"Glyma.13G073100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G007700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G263800.Wm82.a2.v1",328,320,300,230,261,181
"Glyma.03G176500.Wm82.a2.v1",23,16,13,12,18,12
"Glyma.02G198100.Wm82.a2.v1",65,52,31,37,37,38
"Glyma.07G265900.Wm82.a2.v1",61,59,58,73,89,67
"Glyma.20G152500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G038700.Wm82.a2.v1",30,40,32,34,49,24
"Glyma.07G186000.Wm82.a2.v1",0,0,1,1,2,1
"Glyma.07G067300.Wm82.a2.v1",65,59,35,41,66,68
"Glyma.08G167800.Wm82.a2.v1",33,63,40,42,37,34
"Glyma.01G101700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G200300.Wm82.a2.v1",1,0,0,0,0,1
"Glyma.18G072900.Wm82.a2.v1",0,5,2,1,0,0
"Glyma.08G274200.Wm82.a2.v1",65,59,68,32,31,34
"Glyma.09G275200.Wm82.a2.v1",0,2,3,2,7,4
"Glyma.08G275600.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.14G092600.Wm82.a2.v1",111,111,108,80,114,91
"Glyma.08G258100.Wm82.a2.v1",0,0,1,3,2,0
"Glyma.10G167000.Wm82.a2.v1",73,92,65,38,78,54
"Glyma.01G202700.Wm82.a2.v1",4,2,3,4,1,1
"Glyma.06G303600.Wm82.a2.v1",256,263,218,239,263,223
"Glyma.19G231900.Wm82.a2.v1",57,59,50,41,44,36
"Glyma.19G079800.Wm82.a2.v1",18,17,13,12,12,13
"Glyma.19G222200.Wm82.a2.v1",41,35,42,22,37,45
"Glyma.16G086000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G156100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G115800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G184500.Wm82.a2.v1",29,28,39,20,24,20
"Glyma.03G119300.Wm82.a2.v1",10,23,7,9,13,10
"Glyma.15G198400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G208000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G276700.Wm82.a2.v1",21,24,22,6,12,12
"Glyma.04G177400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G122700.Wm82.a2.v1",189,155,139,149,201,152
"Glyma.10G189500.Wm82.a2.v1",349,344,268,305,416,327
"Glyma.18G262600.Wm82.a2.v1",15,14,9,23,17,11
"Glyma.02G174300.Wm82.a2.v1",43,53,44,35,45,29
"Glyma.03G043300.Wm82.a2.v1",61,50,24,13,15,15
"Glyma.15G152400.Wm82.a2.v1",219,213,228,92,96,142
"Glyma.07G013500.Wm82.a2.v1",155,180,140,114,85,88
"Glyma.14G209900.Wm82.a2.v1",71,48,33,62,67,43
"Glyma.05G192500.Wm82.a2.v1",0,3,2,0,0,0
"Glyma.08G225900.Wm82.a2.v1",0,0,1,1,0,0
"Glyma.10G198200.Wm82.a2.v1",0,0,0,2,2,2
"Glyma.19G104100.Wm82.a2.v1",1,8,1,3,3,2
"Glyma.02G071400.Wm82.a2.v1",9,11,9,6,7,9
"Glyma.07G014200.Wm82.a2.v1",9,13,13,12,9,11
"Glyma.05G239400.Wm82.a2.v1",30,10,12,27,37,25
"Glyma.08G180400.Wm82.a2.v1",1,3,3,3,1,0
"Glyma.15G199300.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.17G256300.Wm82.a2.v1",4,1,4,6,1,1
"Glyma.13G337200.Wm82.a2.v1",8,5,8,11,16,17
"Glyma.13G324300.Wm82.a2.v1",5,0,1,3,1,1
"Glyma.04G081100.Wm82.a2.v1",139,132,134,56,78,65
"Glyma.16G139900.Wm82.a2.v1",1,2,1,1,0,0
"Glyma.14G144100.Wm82.a2.v1",356,424,324,410,449,337
"Glyma.19G041600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G041100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G125900.Wm82.a2.v1",11,12,11,2,3,4
"Glyma.08G078900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G083300.Wm82.a2.v1",93,101,91,98,127,103
"Glyma.15G193400.Wm82.a2.v1",265,251,210,146,179,185
"Glyma.06G098300.Wm82.a2.v1",551,503,370,411,416,437
"Glyma.06G066600.Wm82.a2.v1",13,14,10,7,8,6
"Glyma.13G334900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G074400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G143500.Wm82.a2.v1",145,77,62,141,144,96
"Glyma.02G058500.Wm82.a2.v1",65,50,70,43,38,68
"Glyma.18G180300.Wm82.a2.v1",25,27,16,19,19,14
"Glyma.16G132400.Wm82.a2.v1",0,2,1,1,2,0
"Glyma.10G049700.Wm82.a2.v1",0,1,2,0,1,4
"Glyma.01G176000.Wm82.a2.v1",112,112,99,90,77,99
"Glyma.10G219300.Wm82.a2.v1",0,0,1,4,3,5
"Glyma.08G113200.Wm82.a2.v1",686,709,546,495,525,529
"Glyma.10G145700.Wm82.a2.v1",34,46,29,31,33,30
"Glyma.08G256400.Wm82.a2.v1",32,36,35,36,24,23
"Glyma.01G114700.Wm82.a2.v1",5,3,3,2,2,1
"Glyma.10G286300.Wm82.a2.v1",271,274,243,148,164,167
"Glyma.04G055200.Wm82.a2.v1",11,8,3,11,9,8
"Glyma.05G042600.Wm82.a2.v1",4,3,1,0,1,1
"Glyma.20G029800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G245400.Wm82.a2.v1",8,4,2,2,7,6
"Glyma.15G180800.Wm82.a2.v1",2,9,7,5,5,8
"Glyma.02G172400.Wm82.a2.v1",0,0,0,1,0,1
"Glyma.10G239600.Wm82.a2.v1",165,166,129,89,114,90
"Glyma.12G146100.Wm82.a2.v1",161,161,141,152,188,168
"Glyma.09G094700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G009000.Wm82.a2.v1",1,0,0,0,1,0
"Glyma.09G086600.Wm82.a2.v1",1,0,2,6,8,7
"Glyma.10G158000.Wm82.a2.v1",164,154,115,133,121,122
"Glyma.13G282600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G047700.Wm82.a2.v1",39,47,26,26,16,33
"Glyma.16G025500.Wm82.a2.v1",1182,1282,978,720,869,865
"Glyma.03G202900.Wm82.a2.v1",189,233,192,289,385,250
"Glyma.04G070500.Wm82.a2.v1",1,9,2,9,10,14
"Glyma.15G176900.Wm82.a2.v1",4112,4225,2624,5399,6973,4019
"Glyma.09G130800.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.13G063500.Wm82.a2.v1",57,65,50,64,77,65
"Glyma.03G014000.Wm82.a2.v1",549,625,548,725,844,624
"Glyma.17G092800.Wm82.a2.v1",52,21,16,15,29,21
"Glyma.07G172300.Wm82.a2.v1",0,3,0,0,0,0
"Glyma.05G011500.Wm82.a2.v1",36,24,13,17,20,20
"Glyma.14G045200.Wm82.a2.v1",8,3,4,1,8,6
"Glyma.04G084800.Wm82.a2.v1",27,20,13,24,33,23
"Glyma.02G159100.Wm82.a2.v1",139,103,95,91,98,79
"Glyma.01G209300.Wm82.a2.v1",167,133,124,125,148,140
"Glyma.17G149500.Wm82.a2.v1",297,271,225,267,301,239
"Glyma.20G228900.Wm82.a2.v1",287,305,241,194,156,189
"Glyma.18G076500.Wm82.a2.v1",28,9,3,9,14,15
"Glyma.02G248500.Wm82.a2.v1",24,27,26,19,34,32
"Glyma.10G129300.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.15G147100.Wm82.a2.v1",1,0,0,0,1,0
"Glyma.12G175000.Wm82.a2.v1",1,2,0,0,0,0
"Glyma.11G008100.Wm82.a2.v1",78,89,79,88,120,78
"Glyma.18G237300.Wm82.a2.v1",149,129,127,111,143,104
"Glyma.20G083900.Wm82.a2.v1",2,0,0,0,0,0
"Glyma.06G201000.Wm82.a2.v1",7,0,2,1,1,2
"Glyma.03G117600.Wm82.a2.v1",29,56,35,42,58,56
"Glyma.04G131100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G078900.Wm82.a2.v1",11,4,8,17,8,14
"Glyma.03G123800.Wm82.a2.v1",9,5,6,3,5,3
"Glyma.06G306000.Wm82.a2.v1",175,208,163,127,114,140
"Glyma.20G249700.Wm82.a2.v1",306,306,252,207,282,216
"Glyma.02G151500.Wm82.a2.v1",17,19,14,21,31,15
"Glyma.05G223800.Wm82.a2.v1",287,234,175,275,334,201
"Glyma.14G164600.Wm82.a2.v1",63,41,42,46,48,60
"Glyma.13G145700.Wm82.a2.v1",97,96,104,74,92,76
"Glyma.02G169300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G121700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G238800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G213900.Wm82.a2.v1",1200,1211,918,755,635,692
"Glyma.05G187200.Wm82.a2.v1",1,1,0,1,1,0
"Glyma.11G187400.Wm82.a2.v1",22,18,18,14,16,18
"Glyma.12G051400.Wm82.a2.v1",6,5,1,2,4,2
"Glyma.02G294400.Wm82.a2.v1",1,1,1,0,0,0
"Glyma.04G046200.Wm82.a2.v1",355,350,346,293,272,262
"Glyma.18G300200.Wm82.a2.v1",219,193,172,258,260,211
"Glyma.17G220400.Wm82.a2.v1",15,15,10,6,10,12
"Glyma.18G218700.Wm82.a2.v1",31,101,64,26,31,38
"Glyma.03G072400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G194400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G063200.Wm82.a2.v1",19,35,18,13,9,10
"Glyma.07G062700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G162200.Wm82.a2.v1",397,953,1273,310,169,1081
"Glyma.U006000.Wm82.a2.v1",3,0,1,1,2,0
"Glyma.03G225400.Wm82.a2.v1",293,318,230,326,259,230
"Glyma.11G218100.Wm82.a2.v1",35,24,10,30,24,15
"Glyma.07G171500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G100300.Wm82.a2.v1",30,21,22,26,13,13
"Glyma.06G069500.Wm82.a2.v1",83,91,53,60,62,46
"Glyma.08G002500.Wm82.a2.v1",8,12,7,1,5,6
"Glyma.17G065400.Wm82.a2.v1",44,12,5,5,6,6
"Glyma.16G024700.Wm82.a2.v1",1,2,0,2,0,1
"Glyma.19G095200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G108200.Wm82.a2.v1",342,329,315,172,116,153
"Glyma.03G256500.Wm82.a2.v1",593,532,464,407,509,490
"Glyma.12G089200.Wm82.a2.v1",14,17,13,18,26,11
"Glyma.17G024700.Wm82.a2.v1",132,113,111,121,135,86
"Glyma.13G071800.Wm82.a2.v1",900,925,718,509,501,475
"Glyma.09G271400.Wm82.a2.v1",2,0,0,0,1,1
"Glyma.06G085000.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.01G134400.Wm82.a2.v1",98,85,76,79,82,75
"Glyma.07G142100.Wm82.a2.v1",33,30,28,19,15,23
"Glyma.05G148800.Wm82.a2.v1",2,3,3,2,0,1
"Glyma.18G053100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G321500.Wm82.a2.v1",217,190,155,231,247,209
"Glyma.10G290600.Wm82.a2.v1",0,0,0,1,1,0
"Glyma.11G165200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G023200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G039900.Wm82.a2.v1",40,23,21,35,24,30
"Glyma.19G141400.Wm82.a2.v1",35,35,30,31,36,30
"Glyma.14G174900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G197100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G084900.Wm82.a2.v1",8,7,11,19,27,27
"Glyma.18G016200.Wm82.a2.v1",223,267,197,283,405,242
"Glyma.08G149100.Wm82.a2.v1",1,1,0,0,1,1
"Glyma.14G176200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G229100.Wm82.a2.v1",3,7,4,3,4,5
"Glyma.13G157300.Wm82.a2.v1",291,267,218,158,215,215
"Glyma.20G022600.Wm82.a2.v1",30,27,26,26,29,26
"Glyma.08G136000.Wm82.a2.v1",9,6,11,9,4,8
"Glyma.09G238700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G181200.Wm82.a2.v1",3,2,14,3,3,3
"Glyma.10G117500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G029200.Wm82.a2.v1",23,6,5,6,5,4
"Glyma.03G155700.Wm82.a2.v1",119,130,117,121,147,162
"Glyma.04G059200.Wm82.a2.v1",2,3,1,3,2,1
"Glyma.02G243100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G171900.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.02G103200.Wm82.a2.v1",0,1,1,1,0,0
"Glyma.11G187500.Wm82.a2.v1",472,686,475,783,723,617
"Glyma.07G183300.Wm82.a2.v1",1,1,4,1,0,1
"Glyma.11G070700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G220600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G184000.Wm82.a2.v1",61,36,19,16,22,11
"Glyma.19G201100.Wm82.a2.v1",45,49,51,46,37,49
"Glyma.08G171900.Wm82.a2.v1",79,87,77,64,87,81
"Glyma.19G099000.Wm82.a2.v1",160,166,131,114,112,109
"Glyma.13G335600.Wm82.a2.v1",70,66,56,57,52,33
"Glyma.18G188300.Wm82.a2.v1",2,0,1,0,0,0
"Glyma.06G056900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G288700.Wm82.a2.v1",147,140,99,115,150,117
"Glyma.01G077900.Wm82.a2.v1",94,89,55,96,88,64
"Glyma.20G182600.Wm82.a2.v1",62,70,60,49,61,48
"Glyma.10G155400.Wm82.a2.v1",725,885,681,718,726,594
"Glyma.08G099700.Wm82.a2.v1",3,0,1,1,0,0
"Glyma.16G144400.Wm82.a2.v1",0,0,2,0,0,0
"Glyma.01G043300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G089000.Wm82.a2.v1",18,10,5,11,13,10
"Glyma.08G128500.Wm82.a2.v1",48,54,36,27,22,28
"Glyma.08G174400.Wm82.a2.v1",2,4,0,0,0,1
"Glyma.19G151900.Wm82.a2.v1",0,0,0,0,0,2
"Glyma.10G013800.Wm82.a2.v1",1,4,6,3,0,1
"Glyma.11G132100.Wm82.a2.v1",6,5,2,4,4,2
"Glyma.19G059800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G235400.Wm82.a2.v1",0,0,0,1,1,0
"Glyma.06G089900.Wm82.a2.v1",4,4,1,2,4,4
"Glyma.13G372900.Wm82.a2.v1",241,266,217,291,280,229
"Glyma.09G148400.Wm82.a2.v1",18,25,20,11,23,21
"Glyma.05G110200.Wm82.a2.v1",4558,4048,3780,3024,2982,2873
"Glyma.13G364700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G193800.Wm82.a2.v1",528,500,399,323,420,460
"Glyma.06G087000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G262000.Wm82.a2.v1",256,224,136,182,239,196
"Glyma.07G099300.Wm82.a2.v1",62,79,111,15,11,25
"Glyma.04G076000.Wm82.a2.v1",246,284,259,105,176,230
"Glyma.14G146800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G000700.Wm82.a2.v1",86,63,56,51,65,54
"Glyma.05G201100.Wm82.a2.v1",543,596,447,880,1122,669
"Glyma.02G106100.Wm82.a2.v1",52,59,39,19,22,45
"Glyma.13G306800.Wm82.a2.v1",38,67,43,28,29,33
"Glyma.16G143600.Wm82.a2.v1",8315,9631,7858,8528,8295,6928
"Glyma.20G159500.Wm82.a2.v1",24,27,14,20,19,17
"Glyma.14G022300.Wm82.a2.v1",96,95,75,57,88,80
"Glyma.01G119000.Wm82.a2.v1",6,4,5,5,4,1
"Glyma.08G043200.Wm82.a2.v1",60,50,28,45,51,39
"Glyma.15G017400.Wm82.a2.v1",94,123,100,98,125,89
"Glyma.07G051300.Wm82.a2.v1",232,214,198,213,272,183
"Glyma.09G143300.Wm82.a2.v1",12,8,7,3,2,2
"Glyma.17G026000.Wm82.a2.v1",2,1,2,6,6,6
"Glyma.07G155800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G228100.Wm82.a2.v1",461,461,323,277,281,280
"Glyma.06G313000.Wm82.a2.v1",153,136,111,135,169,110
"Glyma.04G064600.Wm82.a2.v1",80,44,69,18,27,22
"Glyma.17G102100.Wm82.a2.v1",62,65,38,36,28,27
"Glyma.13G243300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G199900.Wm82.a2.v1",466,552,370,274,348,363
"Glyma.07G123300.Wm82.a2.v1",8,2,5,6,3,7
"Glyma.17G057900.Wm82.a2.v1",5,3,2,2,5,5
"Glyma.17G009300.Wm82.a2.v1",4,8,4,6,1,3
"Glyma.03G257300.Wm82.a2.v1",79,103,63,115,105,89
"Glyma.09G001600.Wm82.a2.v1",58,76,49,49,69,44
"Glyma.09G132000.Wm82.a2.v1",41,55,27,14,17,17
"Glyma.18G081300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G238000.Wm82.a2.v1",35,65,36,42,29,28
"Glyma.14G009200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G156600.Wm82.a2.v1",87,90,59,110,114,103
"Glyma.01G067600.Wm82.a2.v1",57,57,54,57,63,51
"Glyma.01G206500.Wm82.a2.v1",36,26,14,35,32,34
"Glyma.02G250200.Wm82.a2.v1",574,290,136,144,190,174
"Glyma.08G246600.Wm82.a2.v1",92,88,78,83,91,94
"Glyma.18G169400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G130000.Wm82.a2.v1",31,43,27,23,13,11
"Glyma.15G140200.Wm82.a2.v1",127,107,137,52,52,72
"Glyma.14G126300.Wm82.a2.v1",429,441,290,281,319,236
"Glyma.04G086900.Wm82.a2.v1",114,117,98,134,159,93
"Glyma.17G262200.Wm82.a2.v1",5,4,8,4,5,9
"Glyma.02G240900.Wm82.a2.v1",49,39,31,27,43,33
"Glyma.04G066400.Wm82.a2.v1",516,365,259,187,231,211
"Glyma.17G153900.Wm82.a2.v1",138,160,119,362,511,277
"Glyma.13G044300.Wm82.a2.v1",17,10,8,3,8,3
"Glyma.05G056900.Wm82.a2.v1",3,3,0,1,0,3
"Glyma.13G288100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G215100.Wm82.a2.v1",77,105,75,66,99,68
"Glyma.18G067500.Wm82.a2.v1",103,74,67,76,78,99
"Glyma.19G201600.Wm82.a2.v1",474,392,287,179,184,212
"Glyma.09G237300.Wm82.a2.v1",76,72,52,43,60,55
"Glyma.02G151900.Wm82.a2.v1",0,1,4,1,1,1
"Glyma.18G026600.Wm82.a2.v1",346,335,236,183,164,153
"Glyma.05G004400.Wm82.a2.v1",1,1,0,0,0,0
"Glyma.11G033000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G017800.Wm82.a2.v1",329,348,206,157,127,126
"Glyma.08G164800.Wm82.a2.v1",174,224,241,138,147,117
"Glyma.15G098100.Wm82.a2.v1",263,212,121,85,143,275
"Glyma.14G039400.Wm82.a2.v1",77,101,86,68,85,78
"Glyma.02G290900.Wm82.a2.v1",5,13,8,2,4,5
"Glyma.12G195200.Wm82.a2.v1",24,57,32,8,18,19
"Glyma.01G114200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G160800.Wm82.a2.v1",73,54,60,55,60,47
"Glyma.20G026600.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.17G114800.Wm82.a2.v1",373,437,315,512,604,383
"Glyma.17G116300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G183300.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.16G067300.Wm82.a2.v1",0,1,0,2,2,0
"Glyma.08G285400.Wm82.a2.v1",370,462,324,396,554,446
"Glyma.06G052100.Wm82.a2.v1",41,36,32,26,33,31
"Glyma.08G356800.Wm82.a2.v1",85,122,101,55,49,90
"Glyma.10G117800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G200000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G012700.Wm82.a2.v1",8,13,19,10,5,9
"Glyma.20G004000.Wm82.a2.v1",80,77,63,101,110,105
"Glyma.02G299800.Wm82.a2.v1",3,3,9,13,7,0
"Glyma.17G059800.Wm82.a2.v1",108,156,120,80,72,65
"Glyma.09G159000.Wm82.a2.v1",14,13,9,3,1,1
"Glyma.17G157000.Wm82.a2.v1",346,350,245,280,320,245
"Glyma.11G223300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G197400.Wm82.a2.v1",40,38,45,27,25,45
"Glyma.19G160300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G217600.Wm82.a2.v1",70,51,52,31,44,40
"Glyma.15G052000.Wm82.a2.v1",11,12,8,13,5,9
"Glyma.02G140000.Wm82.a2.v1",0,0,0,1,0,2
"Glyma.18G164400.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.03G169300.Wm82.a2.v1",87,102,86,74,47,83
"Glyma.11G147300.Wm82.a2.v1",0,1,0,3,2,0
"Glyma.12G132900.Wm82.a2.v1",12,3,7,8,5,9
"Glyma.03G166800.Wm82.a2.v1",47,63,26,53,88,50
"Glyma.10G192200.Wm82.a2.v1",66,70,33,72,89,59
"Glyma.08G071100.Wm82.a2.v1",88,179,135,13,7,22
"Glyma.01G018100.Wm82.a2.v1",439,352,333,178,199,112
"Glyma.02G015800.Wm82.a2.v1",303,322,421,79,91,126
"Glyma.18G065100.Wm82.a2.v1",16,5,12,10,11,12
"Glyma.17G008700.Wm82.a2.v1",121,129,77,114,154,89
"Glyma.08G321500.Wm82.a2.v1",1,1,0,3,1,0
"Glyma.18G281100.Wm82.a2.v1",93,80,55,78,82,62
"Glyma.10G017900.Wm82.a2.v1",939,1019,801,1070,1230,918
"Glyma.10G004700.Wm82.a2.v1",10,4,8,55,104,62
"Glyma.13G202600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G067100.Wm82.a2.v1",23,19,15,16,25,16
"Glyma.02G273100.Wm82.a2.v1",711,761,653,473,574,476
"Glyma.17G215100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G226900.Wm82.a2.v1",0,2,0,1,3,3
"Glyma.11G143600.Wm82.a2.v1",9,6,5,5,2,3
"Glyma.17G148900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G250000.Wm82.a2.v1",300,202,192,173,156,143
"Glyma.20G007900.Wm82.a2.v1",335,580,517,181,201,302
"Glyma.17G257600.Wm82.a2.v1",73,52,40,66,72,40
"Glyma.15G129100.Wm82.a2.v1",22,11,11,18,21,8
"Glyma.05G138400.Wm82.a2.v1",14,17,7,10,7,14
"Glyma.15G214400.Wm82.a2.v1",20,14,13,5,7,10
"Glyma.18G023500.Wm82.a2.v1",7,10,5,22,35,17
"Glyma.01G238600.Wm82.a2.v1",31,33,44,38,60,30
"Glyma.05G008000.Wm82.a2.v1",159,151,114,132,145,112
"Glyma.17G171700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G171100.Wm82.a2.v1",216,238,164,141,202,161
"Glyma.17G256400.Wm82.a2.v1",63,63,52,33,39,33
"Glyma.16G175200.Wm82.a2.v1",74,100,61,30,30,46
"Glyma.08G039500.Wm82.a2.v1",16,9,13,20,8,13
"Glyma.02G249500.Wm82.a2.v1",15,4,10,15,14,11
"Glyma.11G247600.Wm82.a2.v1",33,22,16,53,50,39
"Glyma.13G184200.Wm82.a2.v1",19,26,22,23,28,24
"Glyma.16G221500.Wm82.a2.v1",13,9,4,5,4,0
"Glyma.09G184200.Wm82.a2.v1",24,20,18,19,27,31
"Glyma.20G052900.Wm82.a2.v1",108,58,44,80,123,89
"Glyma.15G107500.Wm82.a2.v1",0,5,1,0,2,2
"Glyma.03G169500.Wm82.a2.v1",443,491,455,459,375,356
"Glyma.05G091700.Wm82.a2.v1",11,18,10,12,12,8
"Glyma.17G141200.Wm82.a2.v1",348,294,210,163,187,160
"Glyma.09G237100.Wm82.a2.v1",35,31,26,18,16,23
"Glyma.18G245400.Wm82.a2.v1",27,30,18,19,23,15
"Glyma.18G249600.Wm82.a2.v1",232,228,208,147,188,177
"Glyma.16G207900.Wm82.a2.v1",340,356,254,322,361,291
"Glyma.11G204600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G212100.Wm82.a2.v1",219,279,178,203,204,200
"Glyma.16G071200.Wm82.a2.v1",13,6,10,17,11,7
"Glyma.09G097100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G317300.Wm82.a2.v1",2,1,1,0,1,1
"Glyma.11G196600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G002900.Wm82.a2.v1",930,1115,820,2068,2714,1423
"Glyma.16G139700.Wm82.a2.v1",82,93,81,72,60,48
"Glyma.10G115000.Wm82.a2.v1",0,1,0,1,1,0
"Glyma.03G207100.Wm82.a2.v1",45,50,41,49,36,49
"Glyma.03G042600.Wm82.a2.v1",90,84,42,113,58,56
"Glyma.20G153100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G025700.Wm82.a2.v1",2,2,2,0,0,1
"Glyma.05G217800.Wm82.a2.v1",187,186,139,190,225,187
"Glyma.18G042700.Wm82.a2.v1",67,58,39,36,46,45
"Glyma.02G174800.Wm82.a2.v1",306,221,145,164,134,143
"Glyma.03G196300.Wm82.a2.v1",2,0,1,1,4,0
"Glyma.02G013100.Wm82.a2.v1",2,0,0,0,0,0
"Glyma.01G184700.Wm82.a2.v1",71,65,49,53,32,48
"Glyma.18G245100.Wm82.a2.v1",42,30,13,84,183,72
"Glyma.17G094600.Wm82.a2.v1",56,25,23,37,62,44
"Glyma.04G150900.Wm82.a2.v1",47,45,29,13,24,28
"Glyma.10G112300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G015800.Wm82.a2.v1",125,81,75,58,69,84
"Glyma.06G164200.Wm82.a2.v1",261,439,486,339,414,500
"Glyma.03G140100.Wm82.a2.v1",129,132,106,116,118,120
"Glyma.09G039900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G033000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G168700.Wm82.a2.v1",15,46,32,18,41,34
"Glyma.14G061700.Wm82.a2.v1",20,22,15,8,14,16
"Glyma.17G095600.Wm82.a2.v1",19,27,14,20,23,16
"Glyma.18G061900.Wm82.a2.v1",42,39,36,53,77,43
"Glyma.15G192600.Wm82.a2.v1",0,0,0,1,0,1
"Glyma.07G097500.Wm82.a2.v1",59,52,32,44,45,33
"Glyma.01G229300.Wm82.a2.v1",19,6,13,6,18,9
